Serial No.,College Name,Location,URL
1,BITS Pilani (Pilani Campus),Pilani,https://collegedunia.com/university/25800-bits-pilani-pilani-campus-pilani
2,Institute of Chemical Technology - [ICT],Mumbai,https://collegedunia.com/university/25705-institute-of-chemical-technology-ict-mumbai
3,Vellore Institute of Technology - [VIT University],Vellore,https://collegedunia.com/university/25914-vellore-institute-of-technology-vit-university-vellore
4,Thapar Institute of Engineering and Technology - [Thapar University],Patiala,https://collegedunia.com/university/25795-thapar-institute-of-engineering-and-technology-thapar-university-patiala
5,Indian Institute of Space Science and Technology - [IIST],Thiruvananthapuram,https://collegedunia.com/university/25642-indian-institute-of-space-science-and-technology-iist-thiruvananthapuram
6,Birla Institute of Technology - [BIT Mesra],Ranchi,https://collegedunia.com/university/13088-birla-institute-of-technology-bit-mesra-ranchi
7,Amity University,Noida,https://collegedunia.com/university/54797-amity-university-noida
8,SRM Engineering College,Kanchipuram,https://collegedunia.com/college/28254-srm-engineering-college-kanchipuram
9,SSN College of Engineering - [SSNCE],Chennai,https://collegedunia.com/college/14867-ssn-college-of-engineering-ssnce-chennai
10,SASTRA University,Thanjavur,https://collegedunia.com/university/25895-sastra-university-thanjavur
11,Manipal Institute of Technology - [MIT],Manipal,https://collegedunia.com/college/14265-manipal-institute-of-technology-mit-manipal
12,P.S.G College of Technology - [PSGCT],Coimbatore,https://collegedunia.com/college/24312-psg-college-of-technology-psgct-coimbatore
13,Sathyabama Institute of Science and Technology,Chennai,https://collegedunia.com/university/25897-sathyabama-institute-of-science-and-technology-chennai
14,Kalinga Institute of Industrial Technology - [KIIT],Bhubaneswar,https://collegedunia.com/university/25760-kalinga-institute-of-industrial-technology-kiit-bhubaneswar
15,Siksha 'O' Anusandhan University - [SOA],Bhubaneswar,https://collegedunia.com/university/54827-siksha-o-anusandhan-university-soa-bhubaneswar
16,K L University - [KLU],Guntur,https://collegedunia.com/university/25362-k-l-university-klu-guntur
17,Kalasalingam Academy of Research and Education,Krishnankovil,https://collegedunia.com/university/25883-kalasalingam-academy-of-research-and-education-krishnankovil
18,R V College of Engineering - [RVCE],Bangalore,https://collegedunia.com/college/14673-r-v-college-of-engineering-rvce-bangalore
19,Ramaiah Institute of Technology - [RIT],Bangalore,https://collegedunia.com/college/5621-ramaiah-institute-of-technology-rit-bangalore
20,International Institute of Information Technology - [IIIT-B],Bangalore,https://collegedunia.com/university/25604-international-institute-of-information-technology-iiitb-bangalore
21,BMS College of Engineering - [BMSCE],Bangalore,https://collegedunia.com/college/5540-bms-college-of-engineering-bmsce-bangalore
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],Coimbatore,https://collegedunia.com/university/25885-karunya-institute-of-technology-and-sciences-karunya-deemed-university-coimbatore
23,Kumaraguru College of Technology - [KCT],Coimbatore,https://collegedunia.com/college/14052-kumaraguru-college-of-technology-kct-coimbatore
24,Punjab Engineering College University of Technology - [PEC],Chandigarh,https://collegedunia.com/university/25424-punjab-engineering-college-university-of-technology-pec-chandigarh
25,Jaypee Institute of Information Technology University - [JIIT],Noida,https://collegedunia.com/university/25953-jaypee-institute-of-information-technology-university-jiit-noida
26,Indian Institute of Information Technology - [IIIT],Allahabad,https://collegedunia.com/university/25945-indian-institute-of-information-technology-iiit-allahabad
27,Dayalbagh Educational Institute Faculty of Engineering,Agra,https://collegedunia.com/college/28560-dayalbagh-educational-institute-faculty-of-engineering-agra
28,Mepco Schlenk Engineering College,Sivakasi,https://collegedunia.com/college/14325-mepco-schlenk-engineering-college-sivakasi
29,Sri Venkateswara University College of Engineering,Tirupati,https://collegedunia.com/college/57751-sri-venkateswara-university-college-of-engineering-tirupati
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],Gandhinagar,https://collegedunia.com/university/25484-dhirubhai-ambani-institute-of-information-and-communication-technology-daiict-gandhinagar
31,Bharati Vidyapeeth Deemed University Pune,Pune,https://collegedunia.com/university/25688-bharati-vidyapeeth-deemed-university-pune-pune
32,Hindustan Institute of Technology and Science - [HITS],Chennai,https://collegedunia.com/university/25879-hindustan-institute-of-technology-and-science-hits-chennai
33,C. V. Raman Global University,Bhubaneswar,https://collegedunia.com/university/13147-c-v-raman-global-university-bhubaneswar
34,Sri Krishna College of Engineering and Technology - [SKCET],Coimbatore,https://collegedunia.com/college/15222-sri-krishna-college-of-engineering-and-technology-skcet-coimbatore
35,Kongu Engineering College - [KEC],Erode,https://collegedunia.com/college/14023-kongu-engineering-college-kec-erode
36,"Vignan's Foundation for Science, Technology, and Research",Guntur,https://collegedunia.com/university/25384-vignans-foundation-for-science-technology-and-research-guntur
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],Chennai,https://collegedunia.com/university/25870-bs-abdur-rahman-crescent-institute-of-science-and-technology-bsau-chennai
38,Bannari Amman Institute of Technology - [BIT],Sathyamangalam,https://collegedunia.com/college/12991-bannari-amman-institute-of-technology-bit-sathyamangalam
39,Institute of Engineering and Management - [IEM],Kolkata,https://collegedunia.com/college/13834-institute-of-engineering-and-management-iem-kolkata
40,Sona College of Technology,Salem,https://collegedunia.com/college/15174-sona-college-of-technology-salem
41,Jain University - [JU],Bangalore,https://collegedunia.com/university/25606-jain-university-ju-bangalore
42,Chaitanya Bharathi Institute of Technology - [CBIT],Hyderabad,https://collegedunia.com/college/13190-chaitanya-bharathi-institute-of-technology-cbit-hyderabad
43,New Horizon College of Engineering - [NHCE],Bangalore,https://collegedunia.com/college/14483-new-horizon-college-of-engineering-nhce-bangalore
44,Veermata Jijabai Technological Institute - [VJTI],Mumbai,https://collegedunia.com/college/28202-veermata-jijabai-technological-institute-vjti-mumbai
45,"JNTUK University College of Engineering, Kakinada",East Godavari,https://collegedunia.com/college/45700-jntuk-university-college-of-engineering-kakinada-east-godavari
46,"Graphic Era University, School of Engineering and Technology - [GEU]",Dehradun,https://collegedunia.com/college/57256-graphic-era-university-school-of-engineering-and-technology-geu-dehradun
47,K. J. Somaiya College of Engineering - [KJSCE],Mumbai,https://collegedunia.com/college/13916-k-j-somaiya-college-of-engineering-kjsce-mumbai
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur",Nagpur,https://collegedunia.com/college/13492-gh-raisoni-college-of-engineering-ghrce-nagpur-nagpur
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],Mumbai,https://collegedunia.com/college/14374-mukesh-patel-school-of-technology-management-and-engineering-mpstme-mumbai
50,Sardar Patel Institute of Technology - [SPIT],Mumbai,https://collegedunia.com/college/14948-sardar-patel-institute-of-technology-spit-mumbai
51,"Faculty of Engineering and Technology, Jain University - [FET JU]",Bangalore,https://collegedunia.com/college/14976-faculty-of-engineering-and-technology-jain-university-fet-ju-bangalore
52,Ramdeobaba University - [RBU],Nagpur,https://collegedunia.com/college/15096-ramdeobaba-university-rbu-nagpur
53,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],Hyderabad,https://collegedunia.com/college/45855-vallurupalli-nageswara-rao-vignana-jyothi-institute-of-engineering-and-technology-vnr-vjiet-hyderabad
54,National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],Sonepat,https://collegedunia.com/university/25539-national-institute-of-food-technology-entrepreneurship-and-management-niftem-sonepat
55,Sri Jayachamarajendra College of Engineering - [SJCE],Mysore,https://collegedunia.com/college/15219-sri-jayachamarajendra-college-of-engineering-sjce-mysore
56,Jaypee University of Information Technology - [JUIT],Solan,https://collegedunia.com/university/25561-jaypee-university-of-information-technology-juit-solan
57,"University Institute of Engineering, Chandigarh University - [UIE]",Chandigarh,https://collegedunia.com/college/57085-university-institute-of-engineering-chandigarh-university-uie-chandigarh
58,"School of Engineering and Technology, NCU - [SOET]",Gurgaon,https://collegedunia.com/college/60026-school-of-engineering-and-technology-ncu-soet-gurgaon
59,Lovely Professional University - [LPU],Jalandhar,https://collegedunia.com/university/25787-lovely-professional-university-lpu-jalandhar
60,St. Joseph College Of Engineering,Kanchipuram,https://collegedunia.com/college/57841-st-joseph-college-of-engineering-kanchipuram
61,Saveetha Engineering College - [SEC],Chennai,https://collegedunia.com/college/14967-saveetha-engineering-college-sec-chennai
62,Sri Sairam Engineering College,Chennai,https://collegedunia.com/college/15258-sri-sairam-engineering-college-chennai
63,NMAM Institute of Technology - [NMAMIT],Udupi,https://collegedunia.com/college/56066-nmam-institute-of-technology-nmamit-udupi
64,"CVR College of Engineering, Ibrahimpatnam",Rangareddy,https://collegedunia.com/college/13148-cvr-college-of-engineering-ibrahimpatnam-rangareddy
65,Yeshwantrao Chavan College of Engineering - [YCCE],Nagpur,https://collegedunia.com/college/15508-yeshwantrao-chavan-college-of-engineering-ycce-nagpur
66,"Institute of Technology, Nirma University",Ahmedabad,https://collegedunia.com/college/24100-institute-of-technology-nirma-university-ahmedabad
67,Sant Longowal Institute of Engineering and Technology - [SLIET],Sangrur,https://collegedunia.com/university/25793-sant-longowal-institute-of-engineering-and-technology-sliet-sangrur
68,Sri Ramakrishna Engineering College - [SREC],Coimbatore,https://collegedunia.com/college/15243-sri-ramakrishna-engineering-college-srec-coimbatore
69,Chennai Institute of Technology - [CIT],Chennai,https://collegedunia.com/college/13210-chennai-institute-of-technology-cit-chennai
70,Institute of Aeronautical Engineering - [IARE],Hyderabad,https://collegedunia.com/college/7153-institute-of-aeronautical-engineering-iare-hyderabad
71,Nitte Meenakshi Institute of Technology - [NMIT],Bangalore,https://collegedunia.com/college/14500-nitte-meenakshi-institute-of-technology-nmit-bangalore
72,Sri Venkateswara College of Engineering - [SVCE],Sriperumbudur,https://collegedunia.com/college/15281-sri-venkateswara-college-of-engineering-svce-sriperumbudur
73,Rajalakshmi Engineering College - [REC],Chennai,https://collegedunia.com/college/55671-rajalakshmi-engineering-college-rec-chennai
74,PES University - [PESU],Bangalore,https://collegedunia.com/university/28294-pes-university-pesu-bangalore
75,Heritage Institute of Technology - [HIT],Kolkata,https://collegedunia.com/college/13708-heritage-institute-of-technology-hit-kolkata
76,Sri Krishna College of Technology - [SKCT],Coimbatore,https://collegedunia.com/college/15223-sri-krishna-college-of-technology-skct-coimbatore
77,PSNA College of Engineering and Technology,Dindigul,https://collegedunia.com/college/24315-psna-college-of-engineering-and-technology-dindigul
78,BV Raju Institute of Technology - [BVRIT],Hyderabad,https://collegedunia.com/college/24327-bv-raju-institute-of-technology-bvrit-hyderabad
79,University of Petroleum and Energy Studies - [UPES],Dehradun,https://collegedunia.com/university/25997-university-of-petroleum-and-energy-studies-upes-dehradun
80,Vardhaman College of Engineering - [VCE],Hyderabad,https://collegedunia.com/college/19133-vardhaman-college-of-engineering-vce-hyderabad
81,BMS Institute of Technology and Management - [BMSIT],Bangalore,https://collegedunia.com/college/12944-bms-institute-of-technology-and-management-bmsit-bangalore
82,B. N. M. Institute of Technology - [BNMIT],Bangalore,https://collegedunia.com/college/12946-b-n-m-institute-of-technology-bnmit-bangalore
83,KLE Technological University,Hubli,https://collegedunia.com/university/12953-kle-technological-university-hubli
84,RMK Engineering College - [RMKEC],Thiruvallur,https://collegedunia.com/college/14660-rmk-engineering-college-rmkec-thiruvallur
85,MIT World Peace University - [MIT-WPU],Pune,https://collegedunia.com/university/18416-mit-world-peace-university-mitwpu-pune
86,Vishwakarma Institute of Information Technology - [VIIT],Pune,https://collegedunia.com/college/28914-vishwakarma-institute-of-information-technology-viit-pune
87,Anurag University,Hyderabad,https://collegedunia.com/university/13149-anurag-university-hyderabad
88,Narula Institute of Technology - [NIT Agarpara],Kolkata,https://collegedunia.com/college/14438-narula-institute-of-technology-nit-agarpara-kolkata
89,PES College of Engineering - [PESCE],Mandya,https://collegedunia.com/college/14554-pes-college-of-engineering-pesce-mandya
90,Sree Vidyanikethan Engineering College - [SVEC],Tirupati,https://collegedunia.com/college/15198-sree-vidyanikethan-engineering-college-svec-tirupati
91,"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET]",Faridabad,https://collegedunia.com/college/28945-manav-rachna-international-institute-of-research-and-studies-faculty-of-engineering-and-technology-mriirsfet-faridabad
92,Vasavi College of Engineering,Hyderabad,https://collegedunia.com/college/24580-vasavi-college-of-engineering-hyderabad
93,CMR Institute of Technology - [CMRIT],Bangalore,https://collegedunia.com/college/13134-cmr-institute-of-technology-cmrit-bangalore
94,G. Pulla Reddy Engineering College - [GPREC],Kurnool,https://collegedunia.com/college/13480-g-pulla-reddy-engineering-college-gprec-kurnool
95,Haldia Institute of Technology - [HIT],Haldia,https://collegedunia.com/college/13695-haldia-institute-of-technology-hit-haldia
96,Ramrao Adik Institute of Technology - [RAIT],Navi Mumbai,https://collegedunia.com/college/14751-ramrao-adik-institute-of-technology-rait-navi-mumbai
97,Sri Venkateswara College of Engineering and Technology - [SVCET],Chittoor,https://collegedunia.com/college/15286-sri-venkateswara-college-of-engineering-and-technology-svcet-chittoor
98,The National Institute of Engineering - [NIE],Mysore,https://collegedunia.com/college/15466-the-national-institute-of-engineering-nie-mysore
99,North Eastern Regional Institute of Science and Technology - [NERIST],Itanagar,https://collegedunia.com/university/25388-north-eastern-regional-institute-of-science-and-technology-nerist-itanagar
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],Vijayawada,https://collegedunia.com/college/28297-velagapudi-ramakrishna-siddhartha-engineering-college-vrsec-vijayawada
101,Dr. Mahalingam College of Engineering & Technology - [MCET],Pollachi,https://collegedunia.com/college/13393-dr-mahalingam-college-of-engineering-and-technology-mcet-pollachi
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],Hyderabad,https://collegedunia.com/college/13570-gokaraju-rangaraju-institute-of-engineering-and-technology-griet-hyderabad
103,Kakatiya Institute of Technology & Science - [KITSW],Warangal,https://collegedunia.com/college/13955-kakatiya-institute-of-technology-and-science-kitsw-warangal
104,Shri Vishnu Engineering College for Women - [SVECW],Bhimavaram,https://collegedunia.com/college/15116-shri-vishnu-engineering-college-for-women-svecw-bhimavaram
105,Alliance College of Engineering and Design,Bangalore,https://collegedunia.com/college/28379-alliance-college-of-engineering-and-design-bangalore
106,Saveetha School of Engineering - [SSE],Chennai,https://collegedunia.com/college/56310-saveetha-school-of-engineering-sse-chennai
107,Pimpri Chinchwad College of Engineering - [PCCOE],Pune,https://collegedunia.com/college/14564-pimpri-chinchwad-college-of-engineering-pccoe-pune
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],Mumbai,https://collegedunia.com/college/13419-dwarkadas-j-sanghvi-college-of-engineering-djsce-mumbai
109,Fr. Conceicao Rodrigues College of Engineering - [CRCE],Mumbai,https://collegedunia.com/college/13471-fr-conceicao-rodrigues-college-of-engineering-crce-mumbai
110,Dr. M.G.R. Educational and Research Institute,Chennai,https://collegedunia.com/university/25877-dr-mgr-educational-and-research-institute-chennai
111,Basaveshwar Engineering College - [BEC],Bagalkot,https://collegedunia.com/college/13006-basaveshwar-engineering-college-bec-bagalkot
112,MKSSS's Cummins College of Engineering for Women,Pune,https://collegedunia.com/college/13284-mkssss-cummins-college-of-engineering-for-women-pune
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],Bhimavaram,https://collegedunia.com/college/14851-sagi-ramakrishnam-raju-engineering-college-srkr-bhimavaram
114,Sri Sairam Institute of Technology - [SSIT],Chennai,https://collegedunia.com/college/15257-sri-sairam-institute-of-technology-ssit-chennai
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,Chennai,https://collegedunia.com/college/28304-vel-tech-multi-tech-dr-rangarajan-dr-sakunthala-engineering-college-chennai
116,Thakur College of Engineering and Technology - [TCET],Mumbai,https://collegedunia.com/college/54796-thakur-college-of-engineering-and-technology-tcet-mumbai
117,Easwari Engineering College - [EEC],Chennai,https://collegedunia.com/college/13432-easwari-engineering-college-eec-chennai
118,Gayatri Vidya Parishad College of Engineering,Visakhapatnam,https://collegedunia.com/college/13545-gayatri-vidya-parishad-college-of-engineering-visakhapatnam
119,Dr. B R Ambedkar Institute of Technology,Port Blair,https://collegedunia.com/college/56224-dr-b-r-ambedkar-institute-of-technology-port-blair
120,Manipal University - [MUJ],Jaipur,https://collegedunia.com/university/25829-manipal-university-muj-jaipur
121,The LNM Institute of Information Technology - [LNMIIT],Jaipur,https://collegedunia.com/university/25850-the-lnm-institute-of-information-technology-lnmiit-jaipur
122,SRM Institute of Science and Technology - [SRMIST],Chennai,https://collegedunia.com/university/25896-srm-institute-of-science-and-technology-srmist-chennai
123,Christ University,Bangalore,https://collegedunia.com/university/25598-christ-university-bangalore
124,Manipal Academy of Higher Education - [MAHE],Manipal,https://collegedunia.com/university/25617-manipal-academy-of-higher-education-mahe-manipal
125,Centurion University of Technology and Management - [CUTM],Bhubaneswar,https://collegedunia.com/university/25757-centurion-university-of-technology-and-management-cutm-bhubaneswar
126,Sharda University,Greater Noida,https://collegedunia.com/university/25972-sharda-university-greater-noida
127,SVKM's Narsee Monjee Institute of Management Studies - [NMIMS University],Navi Mumbai,https://collegedunia.com/university/60329-svkms-narsee-monjee-institute-of-management-studies-nmims-university-navi-mumbai
128,K.R. Mangalam University,Gurgaon,https://collegedunia.com/university/25462-kr-mangalam-university-gurgaon
129,Galgotias University - [GU],Greater Noida,https://collegedunia.com/university/25940-galgotias-university-gu-greater-noida
130,Nirma University,Ahmedabad,https://collegedunia.com/university/25503-nirma-university-ahmedabad
131,REVA University,Bangalore,https://collegedunia.com/university/54859-reva-university-bangalore
132,Bennett University,Greater Noida,https://collegedunia.com/university/55776-bennett-university-greater-noida
133,Chitkara University - [CU],Patiala,https://collegedunia.com/university/25778-chitkara-university-cu-patiala
134,Singhania University,Jhunjhunu,https://collegedunia.com/university/25846-singhania-university-jhunjhunu
135,Shiv Nadar University - [SNU],Greater Noida,https://collegedunia.com/university/25973-shiv-nadar-university-snu-greater-noida
136,Harcourt Butler Technological University - [HBTU],Kanpur,https://collegedunia.com/university/13697-harcourt-butler-technological-university-hbtu-kanpur
137,Jaipur National University - [JNU],Jaipur,https://collegedunia.com/university/25819-jaipur-national-university-jnu-jaipur
138,Integral University,Lucknow,https://collegedunia.com/university/25950-integral-university-lucknow
139,Vellore Institute of Technology - [VIT],Chennai,https://collegedunia.com/university/56865-vellore-institute-of-technology-vit-chennai
140,K L University - [KLH],Hyderabad,https://collegedunia.com/university/59410-k-l-university-klh-hyderabad
141,Manav Rachna International Institute of Research and Studies - [MRIIRS],Faridabad,https://collegedunia.com/university/25536-manav-rachna-international-institute-of-research-and-studies-mriirs-faridabad
142,Pandit Deendayal Energy University - [PDEU],Gandhinagar,https://collegedunia.com/university/25504-pandit-deendayal-energy-university-pdeu-gandhinagar
143,Alliance University,Bangalore,https://collegedunia.com/university/25591-alliance-university-bangalore
144,"Pandit Deendayal Energy University, School of Technology - [PDEU SOT]",Gandhinagar,https://collegedunia.com/college/28749-pandit-deendayal-energy-university-school-of-technology-pdeu-sot-gandhinagar
145,Amity University,Kolkata,https://collegedunia.com/university/56556-amity-university-kolkata
146,VIT Bhopal University,Bhopal,https://collegedunia.com/university/59253-vit-bhopal-university-bhopal
147,Acharya Institute of Technology - [AIT],Bangalore,https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore
148,MVJ College of Engineering - [MVJCE],Bangalore,https://collegedunia.com/college/14164-mvj-college-of-engineering-mvjce-bangalore
149,DIT University - [DIT],Dehradun,https://collegedunia.com/university/13321-dit-university-dit-dehradun
150,Bharath University - Bharath Institute of Higher Education and Research - [BIHER],Chennai,https://collegedunia.com/university/25871-bharath-university-bharath-institute-of-higher-education-and-research-biher-chennai
151,GLA University,Mathura,https://collegedunia.com/university/25939-gla-university-mathura
152,J.S. University - [JSU],Shikohabad,https://collegedunia.com/university/59054-js-university-jsu-shikohabad
153,Amity University,Mumbai,https://collegedunia.com/university/56517-amity-university-mumbai
154,NIMS University,Jaipur,https://collegedunia.com/university/25833-nims-university-jaipur
155,"Vels Institute of Science, Technology & Advanced Studies",Chennai,https://collegedunia.com/university/25911-vels-institute-of-science-technology-and-advanced-studies-chennai
156,Techno India University,Kolkata,https://collegedunia.com/university/15439-techno-india-university-kolkata
157,Vishwakarma Institute of Technology,Pune,https://collegedunia.com/college/24615-vishwakarma-institute-of-technology-pune
158,JECRC University - [JU],Jaipur,https://collegedunia.com/university/25820-jecrc-university-ju-jaipur
159,Birla Institute of Technology and Science - [BITS],Hyderabad,https://collegedunia.com/university/28467-birla-institute-of-technology-and-science-bits-hyderabad
160,NIST University,Berhampur,https://collegedunia.com/university/14454-nist-university-berhampur
161,Silicon University,Bhubaneswar,https://collegedunia.com/college/15135-silicon-university-bhubaneswar
162,Centurion University of Technology and Management - [CUTM],Paralkhemundi,https://collegedunia.com/university/59596-centurion-university-of-technology-and-management-cutm-paralkhemundi
163,Sanskriti University - [SU],Mathura,https://collegedunia.com/university/57227-sanskriti-university-su-mathura
164,Adamas University,Kolkata,https://collegedunia.com/university/55140-adamas-university-kolkata
165,Ganpat University - [GUNI],Mehsana,https://collegedunia.com/university/25486-ganpat-university-guni-mehsana
166,CEPT University,Ahmedabad,https://collegedunia.com/university/25481-cept-university-ahmedabad
167,Birla Institute of Technology and Science - [BITS],South Goa,https://collegedunia.com/university/13090-birla-institute-of-technology-and-science-bits-south-goa
168,Mahatma Gandhi Institute of Technology - [MGIT],Hyderabad,https://collegedunia.com/college/14215-mahatma-gandhi-institute-of-technology-mgit-hyderabad
169,Prasad V. Potluri Siddhartha Institute of Technology - [PVPSIT],Vijayawada,https://collegedunia.com/college/14587-prasad-v-potluri-siddhartha-institute-of-technology-pvpsit-vijayawada
170,RKDF University,Bhopal,https://collegedunia.com/university/25684-rkdf-university-bhopal
171,SunRise University - [SRU],Alwar,https://collegedunia.com/university/25848-sunrise-university-sru-alwar
172,Uttaranchal University,Dehradun,https://collegedunia.com/university/26001-uttaranchal-university-dehradun
173,OPJS University,Churu,https://collegedunia.com/university/54988-opjs-university-churu
174,"PDM University, Bahadurgarh",Bahadurgarh,https://collegedunia.com/university/58545-pdm-university-bahadurgarh-bahadurgarh
175,Centurion University of Technology and Management - [CUTM],Vizianagaram,https://collegedunia.com/university/59556-centurion-university-of-technology-and-management-cutm-vizianagaram
176,RKDF University,Ranchi,https://collegedunia.com/university/60294-rkdf-university-ranchi
177,MLR Institute of Technology - [MLRIT],Hyderabad,https://collegedunia.com/college/58194-mlr-institute-of-technology-mlrit-hyderabad
178,BML Munjal University - [BMU],Gurgaon,https://collegedunia.com/university/55158-bml-munjal-university-bmu-gurgaon
179,Shoolini University,Solan,https://collegedunia.com/university/25565-shoolini-university-solan
180,Banasthali Vidyapith,Jaipur,https://collegedunia.com/university/25798-banasthali-vidyapith-jaipur
