Serial No.,College Name,Ranking Agency,Year,Rank
318,RNS Institute of Technology - [RNSIT],B.Tech,2020 Ranking,#251|  out of 300 in  |India 2020|#14th in Bangalore
319,Raj Kumar Goel Institute of Technology - [RKGIT],No data found,No data found,No data found
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],Overall,2024 Ranking,-
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],Overall,2023 Ranking,#195|  out of 281 in  |India 2023|#12th in Andhra Pradesh
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],Overall,2022 Ranking,-
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],B.Tech,2024 Ranking,#181|  out of 284 in  |India 2024|#11th in Andhra Pradesh
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],B.Tech,2023 Ranking,#162|  out of 246 in  |India 2023
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],B.Tech,2022 Ranking,#150|  out of 238 in  |India 2022
321,Rizvi College of Engineering - [RCOE],B.Tech,2024 Ranking,#131|  out of 173 in  |India 2024
321,Rizvi College of Engineering - [RCOE],B.Tech,2023 Ranking,#132|  out of 166 in  |India 2023
321,Rizvi College of Engineering - [RCOE],B.Tech,2022 Ranking,#108|  out of 173 in  |India 2022
322,S.A. Engineering College,Overall,2024 Ranking,-
322,S.A. Engineering College,Overall,2023 Ranking,#146|  out of 281 in  |India 2023|#9th in Chennai
322,S.A. Engineering College,Overall,2022 Ranking,-
322,S.A. Engineering College,B.Tech,2024 Ranking,#136|  out of 284 in  |India 2024|#8th in Chennai
322,S.A. Engineering College,B.Tech,2023 Ranking,#114|  out of 246 in  |India 2023
322,S.A. Engineering College,B.Tech,2022 Ranking,#123|  out of 238 in  |India 2022
322,S.A. Engineering College,MBA,2024 Ranking,#256|  out of 275 in  |India 2024|#24th in Chennai
322,S.A. Engineering College,MBA,2023 Ranking,-
322,S.A. Engineering College,MBA,2022 Ranking,-
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],Overall,2024 Ranking,-
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],Overall,2023 Ranking,#58|  out of 281 in  |India 2023|#4th in Bangalore
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],Overall,2022 Ranking,-
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],B.Tech,2024 Ranking,#57|  out of 284 in  |India 2024|#4th in Bangalore
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],B.Tech,2023 Ranking,#29|  out of 246 in  |India 2023
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],B.Tech,2022 Ranking,#32|  out of 238 in  |India 2022
324,St Martin's Engineering College - [SMEC],B.Tech,2024 Ranking,#170|  out of 284 in  |India 2024|#20th in Hyderabad
324,St Martin's Engineering College - [SMEC],B.Tech,2022 Ranking,#186|  out of 238 in  |India 2022
325,"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT]",B.Tech,2024 Ranking,#58|  out of 160 in  |India 2024
325,"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT]",B.Tech,2023 Ranking,#61|  out of 160 in  |India 2023
325,"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT]",B.Tech,2022 Ranking,#62|  out of 160 in  |India 2022
326,Arka Jain University,Overall,2024 Ranking,#52|  out of 73 in  |India 2024
326,Arka Jain University,Commerce,2024 Ranking,#225|  out of 229 in  |India 2024|#2nd in Jharkhand
326,Arka Jain University,BBA/BMS,2024 Ranking,#184|  out of 211 in  |India 2024|#5th in Jharkhand
327,Maharishi Markandeshwar - [MMU],Overall,2023 Ranking,#151|  out of 200 in  |India 2023
328,Nitte University - [NITTE],Overall,2024 Ranking,#44|  out of 92 in  |India 2024
328,Nitte University - [NITTE],Overall,2023 Ranking,#44|  out of 85 in  |India 2023
328,Nitte University - [NITTE],Overall,2022 Ranking,#46|  out of 81 in  |India 2022
329,MIT Academy of Engineering - [MITAOE],B.Tech,2024 Ranking,#114|  out of 284 in  |India 2024|#11th in Pune
330,Vivekananda Global University - [VGU],Overall,2024 Ranking,#33|  out of 50 in  |India 2024
330,Vivekananda Global University - [VGU],B.Tech,2024 Ranking,#111|  out of 160 in  |India 2024
331,Shri Ramswaroop Memorial University - [SRMU],Overall,2024 Ranking,#62|  out of 73 in  |India 2024
332,Amity University,Overall,2024 Ranking,#51|  out of 73 in  |India 2024
332,Amity University,MBA,2024 Ranking,#133|  out of 275 in  |India 2024|#4th in Jharkhand
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,Overall,2024 Ranking,-
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,Overall,2023 Ranking,#191|  out of 281 in  |India 2023|#5th in Punjab
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,Overall,2022 Ranking,-
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,B.Tech,2024 Ranking,#185|  out of 284 in  |India 2024|#4th in Punjab
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,B.Tech,2023 Ranking,#159|  out of 246 in  |India 2023
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,B.Tech,2022 Ranking,-
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,MBA,2024 Ranking,#194|  out of 275 in  |India 2024
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,MBA,2023 Ranking,#201|  out of 272 in  |India 2023|#5th in Punjab
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,MBA,2022 Ranking,#199|  out of 281 in  |India 2022
334,PSG Institute of Technology and Applied Research - [PSG iTech],B.Tech,2024 Ranking,#101-150|  out of 300 in  |India 2024|#15th in Tamil Nadu
334,PSG Institute of Technology and Applied Research - [PSG iTech],B.Tech,2023 Ranking,#101-151|  out of 200 in  |India 2023|#16th in Tamil Nadu
334,PSG Institute of Technology and Applied Research - [PSG iTech],B.Tech,2022 Ranking,#124|  out of 300 in  |India 2022|#23rd in Tamil Nadu
335,XIM University,Overall,2024 Ranking,#8|  out of 73 in  |India 2024
335,XIM University,Overall,2023 Ranking,#8|  out of 69 in  |India 2023
335,XIM University,Overall,2022 Ranking,#8|  out of 62 in  |India 2022
336,Swami Vivekanand University,Overall,2024 Ranking,#113|  out of 160 in  |India 2024
336,Swami Vivekanand University,Overall,2023 Ranking,#117|  out of 171 in  |India 2023
336,Swami Vivekanand University,Overall,2022 Ranking,#92|  out of 161 in  |India 2022
337,Mahaveer Institute of Engineering & Technology - [MIET],No data found,No data found,No data found
338,Anant National University - [AnantU],Architecture,2024 Ranking,#20|  out of 45 in  |India 2024|#2nd in Gujarat
339,Atmiya University,No data found,No data found,No data found
340,Acropolis Group of Institutions,No data found,No data found,No data found
341,Echelon Institute of Technology,No data found,No data found,No data found
342,AISSMS College of Engineering - [AISSMSCOE],Overall,2024 Ranking,-
342,AISSMS College of Engineering - [AISSMSCOE],Overall,2023 Ranking,#155|  out of 281 in  |India 2023|#12th in Pune
342,AISSMS College of Engineering - [AISSMSCOE],Overall,2022 Ranking,-
342,AISSMS College of Engineering - [AISSMSCOE],B.Tech,2024 Ranking,#156|  out of 284 in  |India 2024|#13th in Pune
342,AISSMS College of Engineering - [AISSMSCOE],B.Tech,2023 Ranking,#123|  out of 246 in  |India 2023
342,AISSMS College of Engineering - [AISSMSCOE],B.Tech,2022 Ranking,#138|  out of 238 in  |India 2022
343,Amal Jyothi College of Engineering - [AJCE],Overall,2023 Ranking,#101|  out of 312 in  |India 2023|#2nd in Kerala
344,Bengal Institute of Technology - [BIT],B.Tech,2020 Ranking,#251|  out of 300 in  |India 2020|#5th in Kolkata
345,Bhagwan Parshuram Institute of Technology - [BPIT],B.Tech,2021 Ranking,#251-300|  out of 300 in  |India 2021|#8th in New Delhi
345,Bhagwan Parshuram Institute of Technology - [BPIT],B.Tech,2020 Ranking,#251|  out of 300 in  |India 2020|#9th in New Delhi
346,Bhilai Institute of Technology - [BIT],B.Tech,2020 Ranking,#86|  out of 254 in  |India 2020|#2nd in Chhattisgarh
347,Canara Engineering College - [CEC],No data found,No data found,No data found
348,DKTE Society's Textile and Engineering Institute - [DKTE],B.Tech,2022 Ranking,#211|  out of 238 in  |India 2022
348,DKTE Society's Textile and Engineering Institute - [DKTE],B.Tech,2021 Ranking,-
348,DKTE Society's Textile and Engineering Institute - [DKTE],B.Tech,2020 Ranking,#197|  out of 254 in  |India 2020|#28th in Maharashtra
348,DKTE Society's Textile and Engineering Institute - [DKTE],MBA,2022 Ranking,#213|  out of 281 in  |India 2022|#48th in Maharashtra
348,DKTE Society's Textile and Engineering Institute - [DKTE],MBA,2021 Ranking,#173|  out of 268 in  |India 2021|#39th in Maharashtra
348,DKTE Society's Textile and Engineering Institute - [DKTE],MBA,2020 Ranking,#176|  out of 292 in  |India 2020|#37th in Maharashtra
349,East West Institute of Technology - [EWIT],MBA,2025 Ranking,#173|  out of 200 in  |India 2025
349,East West Institute of Technology - [EWIT],MBA,2024 Ranking,#177|  out of 200 in  |India 2024
349,East West Institute of Technology - [EWIT],MBA,2023 Ranking,#180|  out of 200 in  |India 2023
350,GS Mandal's Marathwada Institute of Technology - [MIT],Architecture,2022 Ranking,#38|  out of 41 in  |India 2022|#6th in Maharashtra
350,GS Mandal's Marathwada Institute of Technology - [MIT],B.Tech,2022 Ranking,#113|  out of 238 in  |India 2022
351,Hindustan College of Engineering - [HCE],No data found,No data found,No data found
352,IMS Engineering College - [IMSEC],B.Tech,2019 Ranking,#75|  out of 150 in  |India 2019|#6th in Uttar Pradesh
353,Jayawantrao Sawant College of Engineering- [JSCOE],No data found,No data found,No data found
354,Jerusalem College of Engineering - [JCE],MBA,2024 Ranking,#109|  out of 110 in  |India 2024
354,Jerusalem College of Engineering - [JCE],MBA,2023 Ranking,#112|  out of 120 in  |India 2023
355,Keshav Memorial Institute of Technology - [KMIT],No data found,No data found,No data found
356,MIT-WPU Faculty of Engineering,Overall,2023 Ranking,#66|  out of 281 in  |India 2023|#6th in Pune
356,MIT-WPU Faculty of Engineering,Overall,2022 Ranking,-
356,MIT-WPU Faculty of Engineering,Overall,2021 Ranking,-
356,MIT-WPU Faculty of Engineering,B.Tech,2023 Ranking,#36|  out of 246 in  |India 2023
356,MIT-WPU Faculty of Engineering,B.Tech,2022 Ranking,#42|  out of 238 in  |India 2022
356,MIT-WPU Faculty of Engineering,B.Tech,2021 Ranking,#44|  out of 218 in  |India 2021
357,Maharashtra Institute of Technology - [MIT],Overall,2023 Ranking,#147|  out of 281 in  |India 2023|#25th in Maharashtra
357,Maharashtra Institute of Technology - [MIT],Overall,2021 Ranking,-
357,Maharashtra Institute of Technology - [MIT],B.Tech,2023 Ranking,#115|  out of 246 in  |India 2023
357,Maharashtra Institute of Technology - [MIT],B.Tech,2021 Ranking,#189|  out of 218 in  |India 2021
358,Mahendra Engineering College,Overall,2020 Ranking,#26-50|  out of 50 in  |India 2020
359,Malnad College of Engineering - [MCE],B.Tech,2024 Ranking,#15|  out of 173 in  |India 2024
359,Malnad College of Engineering - [MCE],B.Tech,2023 Ranking,#13|  out of 166 in  |India 2023
360,Marian Engineering College - [MEC],No data found,No data found,No data found
361,Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM],No data found,No data found,No data found
362,Pillai College of Engineering - [PCE] Navi Mumbai,Overall,2023 Ranking,#151|  out of 312 in  |India 2023|#5th in Mumbai
362,Pillai College of Engineering - [PCE] Navi Mumbai,Overall,2020 Ranking,#26-50|  out of 50 in  |India 2020
363,Poornima College of Engineering,B.Tech,2019 Ranking,#103|  out of 150 in  |India 2019|#3rd in Rajasthan
364,Pune Institute of Computer Technology- [PICT],B.Tech,2019 Ranking,#73|  out of 130 in  |India 2019|#5th in Pune
365,SNS College of Engineering - [SNSCE],Overall,2024 Ranking,-
365,SNS College of Engineering - [SNSCE],Overall,2023 Ranking,#145|  out of 281 in  |India 2023|#18th in Tamil Nadu
365,SNS College of Engineering - [SNSCE],Overall,2022 Ranking,-
365,SNS College of Engineering - [SNSCE],B.Tech,2024 Ranking,#143|  out of 284 in  |India 2024|#19th in Tamil Nadu
365,SNS College of Engineering - [SNSCE],B.Tech,2023 Ranking,#113|  out of 246 in  |India 2023
365,SNS College of Engineering - [SNSCE],B.Tech,2022 Ranking,#120|  out of 238 in  |India 2022
366,Saintgits College of Engineering,B.Tech,2024 Ranking,#153|  out of 245 in  |India 2024|#4th in Kerala
366,Saintgits College of Engineering,B.Tech,2022 Ranking,#151|  out of 216 in  |India 2022|#4th in Kerala
367,Saranathan College of Engineering - [SCE],B.Tech,2024 Ranking,#42|  out of 355 in  |Tamil Nadu 2024
368,Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad,No data found,No data found,No data found
369,Sethu Institute of Technology,Overall,2024 Ranking,-
369,Sethu Institute of Technology,Overall,2023 Ranking,#263|  out of 281 in  |India 2023|#42nd in Tamil Nadu
369,Sethu Institute of Technology,Overall,2022 Ranking,-
369,Sethu Institute of Technology,B.Tech,2024 Ranking,#269|  out of 284 in  |India 2024|#46th in Tamil Nadu
369,Sethu Institute of Technology,B.Tech,2023 Ranking,#229|  out of 246 in  |India 2023
369,Sethu Institute of Technology,B.Tech,2022 Ranking,#230|  out of 238 in  |India 2022
370,Siliguri Institute of Technology - [SIT],MBA,2025 Ranking,#109|  out of 200 in  |India 2025
370,Siliguri Institute of Technology - [SIT],MBA,2024 Ranking,#113|  out of 200 in  |India 2024
370,Siliguri Institute of Technology - [SIT],MBA,2023 Ranking,#156|  out of 200 in  |India 2023
371,Trichy Engineering College - [TEC],B.Tech,2024 Ranking,#335|  out of 355 in  |Tamil Nadu 2024
372,JSS Academy of Technical Education - [JSSATE],B.Tech,2024 Ranking,#201-300|  out of 300 in  |India 2024|#11th in Uttar Pradesh
372,JSS Academy of Technical Education - [JSSATE],B.Tech,2022 Ranking,#251-300|  out of 300 in  |India 2022|#17th in Uttar Pradesh
372,JSS Academy of Technical Education - [JSSATE],B.Tech,2021 Ranking,#251-300|  out of 300 in  |India 2021|#16th in Uttar Pradesh
373,Vaagdevi College of Engineering - [VCOE],No data found,No data found,No data found
374,Jharkhand Rai University - [JRU],No data found,No data found,No data found
375,Shridhar University,No data found,No data found,No data found
376,University of Engineering and Management - [UEM],Overall,2024 Ranking,-
376,University of Engineering and Management - [UEM],Overall,2023 Ranking,#105|  out of 281 in  |India 2023|#7th in Rajasthan
376,University of Engineering and Management - [UEM],Overall,2022 Ranking,-
376,University of Engineering and Management - [UEM],Computer Applications,2024 Ranking,-
376,University of Engineering and Management - [UEM],Computer Applications,2023 Ranking,#87|  out of 170 in  |India 2023|#6th in Rajasthan
376,University of Engineering and Management - [UEM],Computer Applications,2022 Ranking,-
376,University of Engineering and Management - [UEM],B.Tech,2024 Ranking,#102|  out of 284 in  |India 2024|#7th in Rajasthan
376,University of Engineering and Management - [UEM],B.Tech,2023 Ranking,#74|  out of 246 in  |India 2023
376,University of Engineering and Management - [UEM],B.Tech,2022 Ranking,#77|  out of 238 in  |India 2022
377,Amrita Vishwa Vidyapeetham,NIRF Overall Category,2023,15
377,Amrita Vishwa Vidyapeetham,NIRF Universities Category,2023,7
377,Amrita Vishwa Vidyapeetham,NIRF Medical Category,2023,6
377,Amrita Vishwa Vidyapeetham,NIRF Dental Category,2023,12
377,Amrita Vishwa Vidyapeetham,NIRF Pharmacy Category,2023,10
377,Amrita Vishwa Vidyapeetham,NIRF Engineering Category,2023,19
377,Amrita Vishwa Vidyapeetham,NIRF Management Category,2023,30
377,Amrita Vishwa Vidyapeetham,NIRF Research Category,2023,32
377,Amrita Vishwa Vidyapeetham,QS World University,2023,1001-1200
377,Amrita Vishwa Vidyapeetham,QS WUR Ranking by Subject,2023,601-650
377,Amrita Vishwa Vidyapeetham,QS Asia University Ranking,2023,301-350
377,Amrita Vishwa Vidyapeetham,QS Asia University Ranking-Southern Asia,2023,65
378,International Institute of Information Technology - [I²IT],Overall,2024 Ranking,-
378,International Institute of Information Technology - [I²IT],Overall,2023 Ranking,#234|  out of 281 in  |India 2023|#15th in Pune
378,International Institute of Information Technology - [I²IT],Overall,2022 Ranking,-
378,International Institute of Information Technology - [I²IT],B.Tech,2024 Ranking,#242|  out of 284 in  |India 2024|#16th in Pune
378,International Institute of Information Technology - [I²IT],B.Tech,2023 Ranking,#201|  out of 246 in  |India 2023
378,International Institute of Information Technology - [I²IT],B.Tech,2022 Ranking,#189|  out of 238 in  |India 2022
379,CMR Engineering College - [CMREC],B.Tech,2024 Ranking,#131|  out of 245 in  |India 2024|#18th in Hyderabad
379,CMR Engineering College - [CMREC],B.Tech,2022 Ranking,#151|  out of 216 in  |India 2022|#16th in Hyderabad
380,Lingaya's Vidyapeeth,Overall,2024 Ranking,#50|  out of 73 in  |India 2024
381,Matrusri Engineering College,Overall,2024 Ranking,-
381,Matrusri Engineering College,Overall,2023 Ranking,#259|  out of 281 in  |India 2023|#29th in Hyderabad
381,Matrusri Engineering College,Overall,2022 Ranking,-
381,Matrusri Engineering College,B.Tech,2024 Ranking,#241|  out of 284 in  |India 2024|#28th in Hyderabad
381,Matrusri Engineering College,B.Tech,2023 Ranking,#225|  out of 246 in  |India 2023
381,Matrusri Engineering College,B.Tech,2022 Ranking,#214|  out of 238 in  |India 2022
382,Vemana Institute of Technology,No data found,No data found,No data found
383,SRM University Delhi NCR,Overall,2023 Ranking,#112|  out of 281 in  |India 2023|#3rd in Haryana
383,SRM University Delhi NCR,Overall,2022 Ranking,-
383,SRM University Delhi NCR,B.Tech,2023 Ranking,#81|  out of 246 in  |India 2023
383,SRM University Delhi NCR,B.Tech,2022 Ranking,#81|  out of 238 in  |India 2022
384,SRM University Sikkim,Commerce,2023 Ranking,#101|  out of 107 in  |India 2023
385,The Northcap University - [NCU],Overall,2024 Ranking,#62|  out of 92 in  |India 2024
385,The Northcap University - [NCU],Overall,2023 Ranking,#58|  out of 85 in  |India 2023
385,The Northcap University - [NCU],Overall,2022 Ranking,#60|  out of 81 in  |India 2022
386,LNCT University - [LNCTU],Overall,2024 Ranking,#64|  out of 73 in  |India 2024
386,LNCT University - [LNCTU],Overall,2023 Ranking,#59|  out of 69 in  |India 2023
387,Jaipur Engineering College and Research Centre,Overall,2024 Ranking,-
387,Jaipur Engineering College and Research Centre,Overall,2023 Ranking,#96|  out of 281 in  |India 2023|#5th in Rajasthan
387,Jaipur Engineering College and Research Centre,Overall,2022 Ranking,-
387,Jaipur Engineering College and Research Centre,B.Tech,2024 Ranking,#90|  out of 284 in  |India 2024|#5th in Rajasthan
387,Jaipur Engineering College and Research Centre,B.Tech,2023 Ranking,#65|  out of 246 in  |India 2023
387,Jaipur Engineering College and Research Centre,B.Tech,2022 Ranking,#64|  out of 238 in  |India 2022
388,Avantika University,Overall,2024 Ranking,#55|  out of 73 in  |India 2024
388,Avantika University,Overall,2023 Ranking,#58|  out of 69 in  |India 2023
388,Avantika University,B.Tech,2024 Ranking,#184|  out of 284 in  |India 2024|#6th in Madhya Pradesh
388,Avantika University,B.Tech,2023 Ranking,-
389,Dayananda Sagar University - [DSU],MBA,2024 Ranking,#132|  out of 275 in  |India 2024|#29th in Bangalore
390,C. U. Shah University,Overall,2024 Ranking,#137|  out of 160 in  |India 2024
390,C. U. Shah University,Overall,2023 Ranking,#149|  out of 171 in  |India 2023
390,C. U. Shah University,Overall,2022 Ranking,#133|  out of 161 in  |India 2022
391,Techno Main Salt Lake,Computer Applications,2024 Ranking,#103|  out of 167 in  |India 2024|#1st in Kolkata
391,Techno Main Salt Lake,Computer Applications,2023 Ranking,#110|  out of 170 in  |India 2023|#2nd in Kolkata
391,Techno Main Salt Lake,Computer Applications,2022 Ranking,-
391,Techno Main Salt Lake,MBA,2024 Ranking,-
391,Techno Main Salt Lake,MBA,2023 Ranking,#271|  out of 272 in  |India 2023|#11th in Kolkata
391,Techno Main Salt Lake,MBA,2022 Ranking,-
391,Techno Main Salt Lake,BBA/BMS,2024 Ranking,-
391,Techno Main Salt Lake,BBA/BMS,2023 Ranking,-
391,Techno Main Salt Lake,BBA/BMS,2022 Ranking,#172|  out of 182 in  |India 2022
392,P.P. Savani University,BBA/BMS,2024 Ranking,#148|  out of 211 in  |India 2024|#1st in Gujarat
392,P.P. Savani University,BBA/BMS,2024 Ranking,#148|  out of 211 in  |India 2024|#1st in Gujarat
393,VIT University - [VIT- AP],No data found,No data found,No data found
394,Usha Martin University - [UMU],Overall,2024 Ranking,#96|  out of 160 in  |India 2024
394,Usha Martin University - [UMU],Overall,2023 Ranking,#110|  out of 171 in  |India 2023
394,Usha Martin University - [UMU],Overall,2022 Ranking,#119|  out of 161 in  |India 2022
394,Usha Martin University - [UMU],Mass Communications,2024 Ranking,-
394,Usha Martin University - [UMU],Mass Communications,2023 Ranking,#92|  out of 100 in  |India 2023|#2nd in Jharkhand
394,Usha Martin University - [UMU],Mass Communications,2022 Ranking,-
394,Usha Martin University - [UMU],BCA,2024 Ranking,-
394,Usha Martin University - [UMU],BCA,2023 Ranking,-
394,Usha Martin University - [UMU],BCA,2022 Ranking,#89|  out of 100 in  |India 2022|#2nd in Jharkhand
395,Sangai International University - [SIU],No data found,No data found,No data found
396,Pranveer Singh Institute of Technology - [PSIT],B.Tech,2024 Ranking,-
396,Pranveer Singh Institute of Technology - [PSIT],B.Tech,2023 Ranking,-
396,Pranveer Singh Institute of Technology - [PSIT],B.Tech,2022 Ranking,#70|  out of 238 in  |India 2022
396,Pranveer Singh Institute of Technology - [PSIT],MBA,2024 Ranking,#240|  out of 275 in  |India 2024
396,Pranveer Singh Institute of Technology - [PSIT],MBA,2023 Ranking,#247|  out of 272 in  |India 2023|#25th in Uttar Pradesh
396,Pranveer Singh Institute of Technology - [PSIT],MBA,2022 Ranking,#240|  out of 281 in  |India 2022
397,Rama University,No data found,No data found,No data found
398,Birla Institute of Technology - [BIT],No data found,No data found,No data found
399,Institute of Advanced Studies in Education - [IASE University],No data found,No data found,No data found
400,Jayoti Vidyapeeth Women's University - [JVWU],Overall,2021 Ranking,#151-200|  out of 200 in  |India 2021
400,Jayoti Vidyapeeth Women's University - [JVWU],Pharmacy,2021 Ranking,#76-100|  out of 100 in  |India 2021|#5th in Rajasthan
401,Anurag College of Engineering - [ACE],No data found,No data found,No data found
402,Agni College of Technology,B.Tech,2024 Ranking,#140|  out of 284 in  |India 2024|#9th in Chennai
402,Agni College of Technology,B.Tech,2022 Ranking,#181|  out of 238 in  |India 2022
403,Bengal College of Engineering and Technology - [BCET],No data found,No data found,No data found
404,Chandigarh Engineering College - [CEC] Landran,Overall,2023 Ranking,#92|  out of 281 in  |India 2023|#4th in Punjab
404,Chandigarh Engineering College - [CEC] Landran,Overall,2022 Ranking,-
404,Chandigarh Engineering College - [CEC] Landran,Overall,2021 Ranking,-
404,Chandigarh Engineering College - [CEC] Landran,B.Tech,2023 Ranking,#61|  out of 246 in  |India 2023
404,Chandigarh Engineering College - [CEC] Landran,B.Tech,2022 Ranking,#71|  out of 238 in  |India 2022
404,Chandigarh Engineering College - [CEC] Landran,B.Tech,2021 Ranking,#80|  out of 218 in  |India 2021
405,Delhi Technical Campus - [DTC],No data found,No data found,No data found
406,Dr. B.C. Roy Engineering College - [BCREC],B.Tech,2022 Ranking,#201-250|  out of 300 in  |India 2022|#5th in West Bengal
407,Erode Sengunthar Engineering College,Overall,2024 Ranking,-
407,Erode Sengunthar Engineering College,Overall,2023 Ranking,#220|  out of 281 in  |India 2023|#33rd in Tamil Nadu
407,Erode Sengunthar Engineering College,Overall,2022 Ranking,-
407,Erode Sengunthar Engineering College,B.Tech,2024 Ranking,#217|  out of 284 in  |India 2024|#33rd in Tamil Nadu
407,Erode Sengunthar Engineering College,B.Tech,2023 Ranking,#187|  out of 246 in  |India 2023
407,Erode Sengunthar Engineering College,B.Tech,2022 Ranking,#190|  out of 238 in  |India 2022
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,Overall,2024 Ranking,-
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,Overall,2023 Ranking,#206|  out of 281 in  |India 2023|#22nd in Hyderabad
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,Overall,2022 Ranking,-
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,B.Tech,2024 Ranking,#197|  out of 284 in  |India 2024|#22nd in Hyderabad
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,B.Tech,2023 Ranking,#173|  out of 246 in  |India 2023
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,B.Tech,2022 Ranking,#169|  out of 238 in  |India 2022
409,IILM University,B.Tech,2020 Ranking,#87|  out of 162 in  |India 2020|#8th in Uttar Pradesh
409,IILM University,B.Tech,2019 Ranking,#58|  out of 147 in  |India 2019|#6th in Uttar Pradesh
410,Inderprastha Engineering College - [IPEC],No data found,No data found,No data found
411,Kanpur Institute of Technology - [KIT],Overall,2024 Ranking,-
411,Kanpur Institute of Technology - [KIT],Overall,2023 Ranking,#224|  out of 281 in  |India 2023|#20th in Uttar Pradesh
411,Kanpur Institute of Technology - [KIT],Overall,2022 Ranking,-
411,Kanpur Institute of Technology - [KIT],B.Tech,2024 Ranking,#213|  out of 284 in  |India 2024|#18th in Uttar Pradesh
411,Kanpur Institute of Technology - [KIT],B.Tech,2023 Ranking,#191|  out of 246 in  |India 2023
411,Kanpur Institute of Technology - [KIT],B.Tech,2022 Ranking,#192|  out of 238 in  |India 2022
411,Kanpur Institute of Technology - [KIT],MBA,2024 Ranking,#241|  out of 275 in  |India 2024
411,Kanpur Institute of Technology - [KIT],MBA,2023 Ranking,#250|  out of 272 in  |India 2023|#26th in Uttar Pradesh
411,Kanpur Institute of Technology - [KIT],MBA,2022 Ranking,#251|  out of 281 in  |India 2022|#35th in Uttar Pradesh
412,Kashi Institute of Technology - [KIT],No data found,No data found,No data found
413,Lakshmi Narain College of Technology - [LNCT],No data found,No data found,No data found
414,Meenakshi Sundararajan Engineering College - [MSEC],B.Tech,2020 Ranking,#251|  out of 300 in  |India 2020|#16th in Chennai
415,Nandha Engineering College - [NEC],B.Tech,2024 Ranking,#118|  out of 245 in  |India 2024|#27th in Tamil Nadu
415,Nandha Engineering College - [NEC],B.Tech,2020 Ranking,#138|  out of 191 in  |India 2020|#22nd in Tamil Nadu
416,Pragati Engineering College,B.Tech,2024 Ranking,#178|  out of 245 in  |India 2024|#22nd in Andhra Pradesh
417,Prathyusha Engineering College - [PEC],B.Tech,2023 Ranking,#57|  out of 170 in  |India 2023|#13th in Tamil Nadu
417,Prathyusha Engineering College - [PEC],B.Tech,2022 Ranking,#58|  out of 200 in  |India 2022|#13th in Tamil Nadu
418,RCC Institute of Information Technology - [RCCIIT],No data found,No data found,No data found
419,RMD Engineering College,Overall,2024 Ranking,-
419,RMD Engineering College,Overall,2023 Ranking,#123|  out of 281 in  |India 2023|#14th in Tamil Nadu
419,RMD Engineering College,Overall,2022 Ranking,-
419,RMD Engineering College,B.Tech,2024 Ranking,#123|  out of 284 in  |India 2024|#13th in Tamil Nadu
419,RMD Engineering College,B.Tech,2023 Ranking,#92|  out of 246 in  |India 2023
419,RMD Engineering College,B.Tech,2022 Ranking,#87|  out of 238 in  |India 2022
420,Sambhram Institute of Technology - [SAIT],B.Tech,2021 Ranking,#105|  out of 218 in  |India 2021
421,Sphoorthy Engineering College - [SPHN],B.Tech,2024 Ranking,#98|  out of 175 in  |India 2024|#12th in Hyderabad
421,Sphoorthy Engineering College - [SPHN],B.Tech,2023 Ranking,#102|  out of 170 in  |India 2023|#12th in Hyderabad
421,Sphoorthy Engineering College - [SPHN],B.Tech,2022 Ranking,#118|  out of 200 in  |India 2022|#11th in Hyderabad
