Serial No.,College Name,Ranking Agency,Year,Rank
23,Kumaraguru College of Technology - [KCT],B.Tech,2022 Ranking,#108|  out of 300 in  |India 2022|#20th in Tamil Nadu
24,Punjab Engineering College University of Technology - [PEC],B.Tech,2024 Ranking,#101-150|  out of 300 in  |India 2024|#2nd in Chandigarh
24,Punjab Engineering College University of Technology - [PEC],B.Tech,2023 Ranking,#101-151|  out of 200 in  |India 2023|#2nd in Chandigarh
24,Punjab Engineering College University of Technology - [PEC],B.Tech,2022 Ranking,#87|  out of 300 in  |India 2022|#2nd in Chandigarh
25,Jaypee Institute of Information Technology University - [JIIT],Overall,2024 Ranking,-
25,Jaypee Institute of Information Technology University - [JIIT],Overall,2023 Ranking,#56|  out of 281 in  |India 2023|#7th in Uttar Pradesh
25,Jaypee Institute of Information Technology University - [JIIT],Overall,2022 Ranking,-
25,Jaypee Institute of Information Technology University - [JIIT],B.Tech,2024 Ranking,#52|  out of 284 in  |India 2024|#7th in Uttar Pradesh
25,Jaypee Institute of Information Technology University - [JIIT],B.Tech,2023 Ranking,#27|  out of 246 in  |India 2023
25,Jaypee Institute of Information Technology University - [JIIT],B.Tech,2022 Ranking,#29|  out of 238 in  |India 2022
26,Indian Institute of Information Technology - [IIIT],Engineering,No data found,89
27,Dayalbagh Educational Institute Faculty of Engineering,B.Tech,2019 Ranking,#84|  out of 200 in  |India 2019|#8th in Uttar Pradesh
28,Mepco Schlenk Engineering College,Overall,2024 Ranking,-
28,Mepco Schlenk Engineering College,Overall,2023 Ranking,#122|  out of 281 in  |India 2023|#13th in Tamil Nadu
28,Mepco Schlenk Engineering College,Overall,2022 Ranking,-
28,Mepco Schlenk Engineering College,B.Tech,2024 Ranking,#117|  out of 284 in  |India 2024|#12th in Tamil Nadu
28,Mepco Schlenk Engineering College,B.Tech,2023 Ranking,#91|  out of 246 in  |India 2023
28,Mepco Schlenk Engineering College,B.Tech,2022 Ranking,-
28,Mepco Schlenk Engineering College,MBA,2024 Ranking,#130|  out of 275 in  |India 2024
28,Mepco Schlenk Engineering College,MBA,2023 Ranking,#123|  out of 272 in  |India 2023|#8th in Tamil Nadu
28,Mepco Schlenk Engineering College,MBA,2022 Ranking,#129|  out of 281 in  |India 2022|#31st in Tamil Nadu
29,Sri Venkateswara University College of Engineering,B.Tech,2019 Ranking,#89|  out of 200 in  |India 2019|#3rd in Andhra Pradesh
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],Overall,2024 Ranking,-
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],Overall,2022 Ranking,#151-200|  out of 200 in  |India 2022
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],Overall,2021 Ranking,#101-150|  out of 200 in  |India 2021
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],B.Tech,2024 Ranking,#201-300|  out of 300 in  |India 2024|#4th in Gujarat
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],B.Tech,2022 Ranking,#134|  out of 300 in  |India 2022|#5th in Gujarat
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],B.Tech,2021 Ranking,#107|  out of 300 in  |India 2021|#4th in Gujarat
31,Bharati Vidyapeeth Deemed University Pune,Overall,2024 Ranking,-
31,Bharati Vidyapeeth Deemed University Pune,Overall,2023 Ranking,#46|  out of 281 in  |India 2023|#3rd in Pune
31,Bharati Vidyapeeth Deemed University Pune,Overall,2021 Ranking,-
31,Bharati Vidyapeeth Deemed University Pune,Commerce,2024 Ranking,-
31,Bharati Vidyapeeth Deemed University Pune,Commerce,2023 Ranking,-
31,Bharati Vidyapeeth Deemed University Pune,Commerce,2021 Ranking,#108|  out of 200 in  |India 2021|#5th in Pune
31,Bharati Vidyapeeth Deemed University Pune,B.Tech,2024 Ranking,#45|  out of 284 in  |India 2024|#3rd in Pune
31,Bharati Vidyapeeth Deemed University Pune,B.Tech,2023 Ranking,-
31,Bharati Vidyapeeth Deemed University Pune,B.Tech,2021 Ranking,-
31,Bharati Vidyapeeth Deemed University Pune,Medical,2024 Ranking,-
31,Bharati Vidyapeeth Deemed University Pune,Medical,2023 Ranking,#43|  out of 57 in  |India 2023|#2nd in Pune
31,Bharati Vidyapeeth Deemed University Pune,Medical,2021 Ranking,-
32,Hindustan Institute of Technology and Science - [HITS],Overall,2024 Ranking,-
32,Hindustan Institute of Technology and Science - [HITS],Overall,2023 Ranking,#76|  out of 281 in  |India 2023|#3rd in Chennai
32,Hindustan Institute of Technology and Science - [HITS],Overall,2022 Ranking,-
32,Hindustan Institute of Technology and Science - [HITS],Architecture,2024 Ranking,-
32,Hindustan Institute of Technology and Science - [HITS],Architecture,2023 Ranking,#16|  out of 40 in  |India 2023|#1st in Chennai
32,Hindustan Institute of Technology and Science - [HITS],Architecture,2022 Ranking,#15|  out of 41 in  |India 2022|#1st in Chennai
32,Hindustan Institute of Technology and Science - [HITS],B.Tech,2024 Ranking,#71|  out of 284 in  |India 2024|#2nd in Chennai
32,Hindustan Institute of Technology and Science - [HITS],B.Tech,2023 Ranking,#46|  out of 246 in  |India 2023
32,Hindustan Institute of Technology and Science - [HITS],B.Tech,2022 Ranking,#48|  out of 238 in  |India 2022
32,Hindustan Institute of Technology and Science - [HITS],MBA,2024 Ranking,#105|  out of 275 in  |India 2024|#10th in Chennai
32,Hindustan Institute of Technology and Science - [HITS],MBA,2023 Ranking,#104|  out of 272 in  |India 2023|#3rd in Chennai
32,Hindustan Institute of Technology and Science - [HITS],MBA,2022 Ranking,#108|  out of 281 in  |India 2022|#25th in Tamil Nadu
32,Hindustan Institute of Technology and Science - [HITS],Fashion Design,2024 Ranking,#47|  out of 56 in  |India 2024|#2nd in Chennai
32,Hindustan Institute of Technology and Science - [HITS],Fashion Design,2023 Ranking,-
32,Hindustan Institute of Technology and Science - [HITS],Fashion Design,2022 Ranking,-
32,Hindustan Institute of Technology and Science - [HITS],BBA/BMS,2024 Ranking,#86|  out of 211 in  |India 2024|#20th in Tamil Nadu
32,Hindustan Institute of Technology and Science - [HITS],BBA/BMS,2023 Ranking,-
32,Hindustan Institute of Technology and Science - [HITS],BBA/BMS,2022 Ranking,-
33,C. V. Raman Global University,B.Tech,2024 Ranking,#240|  out of 284 in  |India 2024|#2nd in Odisha
34,Sri Krishna College of Engineering and Technology - [SKCET],Overall,2024 Ranking,-
34,Sri Krishna College of Engineering and Technology - [SKCET],Overall,2023 Ranking,#140|  out of 281 in  |India 2023|#17th in Tamil Nadu
34,Sri Krishna College of Engineering and Technology - [SKCET],Overall,2022 Ranking,-
34,Sri Krishna College of Engineering and Technology - [SKCET],B.Tech,2024 Ranking,#139|  out of 284 in  |India 2024|#17th in Tamil Nadu
34,Sri Krishna College of Engineering and Technology - [SKCET],B.Tech,2023 Ranking,#109|  out of 246 in  |India 2023
34,Sri Krishna College of Engineering and Technology - [SKCET],B.Tech,2022 Ranking,#99|  out of 238 in  |India 2022
35,Kongu Engineering College - [KEC],Overall,2024 Ranking,-
35,Kongu Engineering College - [KEC],Overall,2023 Ranking,#89|  out of 281 in  |India 2023|#8th in Tamil Nadu
35,Kongu Engineering College - [KEC],Overall,2022 Ranking,-
35,Kongu Engineering College - [KEC],B.Tech,2024 Ranking,#80|  out of 284 in  |India 2024|#6th in Tamil Nadu
35,Kongu Engineering College - [KEC],B.Tech,2023 Ranking,#58|  out of 246 in  |India 2023
35,Kongu Engineering College - [KEC],B.Tech,2022 Ranking,#56|  out of 238 in  |India 2022
35,Kongu Engineering College - [KEC],MBA,2024 Ranking,#123|  out of 275 in  |India 2024|#27th in Tamil Nadu
35,Kongu Engineering College - [KEC],MBA,2023 Ranking,#130|  out of 272 in  |India 2023
35,Kongu Engineering College - [KEC],MBA,2022 Ranking,#141|  out of 281 in  |India 2022|#39th in Tamil Nadu
36,"Vignan's Foundation for Science, Technology, and Research",Overall,2024 Ranking,-
36,"Vignan's Foundation for Science, Technology, and Research",Overall,2023 Ranking,#133|  out of 281 in  |India 2023|#6th in Andhra Pradesh
36,"Vignan's Foundation for Science, Technology, and Research",Overall,2022 Ranking,-
36,"Vignan's Foundation for Science, Technology, and Research",B.Tech,2024 Ranking,#134|  out of 284 in  |India 2024|#8th in Andhra Pradesh
36,"Vignan's Foundation for Science, Technology, and Research",B.Tech,2023 Ranking,#102|  out of 246 in  |India 2023
36,"Vignan's Foundation for Science, Technology, and Research",B.Tech,2022 Ranking,#107|  out of 238 in  |India 2022
36,"Vignan's Foundation for Science, Technology, and Research",MBA,2024 Ranking,#136|  out of 275 in  |India 2024
36,"Vignan's Foundation for Science, Technology, and Research",MBA,2023 Ranking,-
36,"Vignan's Foundation for Science, Technology, and Research",MBA,2022 Ranking,-
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],Overall,2024 Ranking,#22|  out of 73 in  |India 2024
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],Overall,2023 Ranking,#24|  out of 69 in  |India 2023
38,Bannari Amman Institute of Technology - [BIT],Overall,2024 Ranking,-
38,Bannari Amman Institute of Technology - [BIT],Overall,2023 Ranking,#93|  out of 281 in  |India 2023|#10th in Tamil Nadu
